,Unnamed: 0,Unnamed: 0.1,imdb_title_id,original_title,year,genre,director,actors,avg_vote,cast_size,comb
0,0,0,tt0035423,kate & leopold,2001,"Comedy, Fantasy, Romance",James Mangold,Meg Ryan Hugh Jackman Liev Schreiber Breckin Meyer Natasha Lyonne Bradley Whitford Paxton Whitehead Spalding Gray Josh Stamberg Matthew Sussman Charlotte Ayanna Philip Bosco Andrew Jack Stan Tracy Kristen Schaal,6.4,15,"James Mangold Meg Ryan Hugh Jackman Liev Schreiber Breckin Meyer Natasha Lyonne Bradley Whitford Paxton Whitehead Spalding Gray Josh Stamberg Matthew Sussman Charlotte Ayanna Philip Bosco Andrew Jack Stan Tracy Kristen Schaal Comedy, Fantasy, Romance"
1,1,1,tt0069049,the other side of the wind,2018,Drama,Orson Welles,John Huston Oja Kodar Peter Bogdanovich Susan Strasberg Norman Foster Robert Random Lilli Palmer Edmond O'Brien Mercedes McCambridge Cameron Mitchell Paul Stewart Gregory Sierra Tonio Selwart Dan Tobin John Carroll,6.8,15,Orson Welles John Huston Oja Kodar Peter Bogdanovich Susan Strasberg Norman Foster Robert Random Lilli Palmer Edmond O'Brien Mercedes McCambridge Cameron Mitchell Paul Stewart Gregory Sierra Tonio Selwart Dan Tobin John Carroll Drama
5,10,10,tt0118710,beyond the pale,2000,Drama,George Bazala,Patrick Clarke Beverley Elder Conn Horgan Malachy McCourt Roger Davis Ruth Miller Valentina Olmos Neale Harper William Stone Mahoney Brian Mallon Jason Killalee Catherine Natale Worth Howe Dominic Dillon Josie Peterson,6.2,15,George Bazala Patrick Clarke Beverley Elder Conn Horgan Malachy McCourt Roger Davis Ruth Miller Valentina Olmos Neale Harper William Stone Mahoney Brian Mallon Jason Killalee Catherine Natale Worth Howe Dominic Dillon Josie Peterson Drama
6,11,11,tt0118852,chinese coffee,2000,Drama,Al Pacino,Al Pacino Jerry Orbach Susan Floyd Ellen McElduff Michel Moinot Judette Jones Paul J.Q. Lee Joel Eidelsberg Maria Gentile Christopher Evan Welch Neal Jones Laura Esterman Hazelle Goodman James Bulleit Mark Scarola,7.1,15,Al Pacino Al Pacino Jerry Orbach Susan Floyd Ellen McElduff Michel Moinot Judette Jones Paul J.Q. Lee Joel Eidelsberg Maria Gentile Christopher Evan Welch Neal Jones Laura Esterman Hazelle Goodman James Bulleit Mark Scarola Drama
7,12,12,tt0118926,the dancer upstairs,2002,"Crime, Drama, Thriller",John Malkovich,Javier Bardem Juan Diego Botto Laura Morante Elvira Mínguez Alexandra Lencastre Oliver Cotton Luís Miguel Cintra Javier Manrique Abel Folk Marie-Anne Berganza Lucas Rodríguez Xabier Elorriaga Natalia Dicenta Wolframio Sinué Ramiro Jiménez,6.9,15,"John Malkovich Javier Bardem Juan Diego Botto Laura Morante Elvira Mínguez Alexandra Lencastre Oliver Cotton Luís Miguel Cintra Javier Manrique Abel Folk Marie-Anne Berganza Lucas Rodríguez Xabier Elorriaga Natalia Dicenta Wolframio Sinué Ramiro Jiménez Crime, Drama, Thriller"
9,18,18,tt0120202,state and main,2000,"Comedy, Drama",David Mamet,Michael Higgins Michael Bradshaw Morris Lamore Allen Soule Clark Gregg Rebecca Pidgeon Ricky Jay Julia Stiles Matt Malloy Charles Durning Tony V. Tony Mamet Jack Wallace Michael James O'Boyle Charlotte Potok,6.7,15,"David Mamet Michael Higgins Michael Bradshaw Morris Lamore Allen Soule Clark Gregg Rebecca Pidgeon Ricky Jay Julia Stiles Matt Malloy Charles Durning Tony V. Tony Mamet Jack Wallace Michael James O'Boyle Charlotte Potok Comedy, Drama"
11,21,22,tt0120679,frida,2002,"Biography, Drama, Romance",Julie Taymor,Salma Hayek Mía Maestro Amelia Zapata Alejandro Usigli Diego Luna Alfred Molina Lucia Bravo Valeria Golino Patricia Reyes Spíndola Loló Navarro Roger Rees Fermín Martínez Roberto Medina Ashley Judd Antonio Banderas,7.4,15,"Julie Taymor Salma Hayek Mía Maestro Amelia Zapata Alejandro Usigli Diego Luna Alfred Molina Lucia Bravo Valeria Golino Patricia Reyes Spíndola Loló Navarro Roger Rees Fermín Martínez Roberto Medina Ashley Judd Antonio Banderas Biography, Drama, Romance"
12,22,23,tt0120681,from hell,2001,"Horror, Mystery, Thriller","Albert Hughes, Allen Hughes",Johnny Depp Heather Graham Ian Holm Robbie Coltrane Ian Richardson Jason Flemyng Katrin Cartlidge Terence Harvey Susan Lynch Paul Rhys Lesley Sharp Estelle Skornik Nicholas McGaughey Annabelle Apsion Joanna Page,6.8,15,"Albert Hughes, Allen Hughes Johnny Depp Heather Graham Ian Holm Robbie Coltrane Ian Richardson Jason Flemyng Katrin Cartlidge Terence Harvey Susan Lynch Paul Rhys Lesley Sharp Estelle Skornik Nicholas McGaughey Annabelle Apsion Joanna Page Horror, Mystery, Thriller"
13,24,25,tt0120737,the lord of the rings: the fellowship of the ring,2001,"Action, Adventure, Drama",Peter Jackson,Alan Howard Noel Appleby Sean Astin Sala Baker Sean Bean Cate Blanchett Orlando Bloom Billy Boyd Marton Csokas Megan Edwards Michael Elsworth Mark Ferguson Ian Holm Christopher Lee Lawrence Makoare,8.8,15,"Peter Jackson Alan Howard Noel Appleby Sean Astin Sala Baker Sean Bean Cate Blanchett Orlando Bloom Billy Boyd Marton Csokas Megan Edwards Michael Elsworth Mark Ferguson Ian Holm Christopher Lee Lawrence Makoare Action, Adventure, Drama"
15,26,27,tt0120755,mission: impossible ii,2000,"Action, Adventure, Thriller",John Woo,Tom Cruise Dougray Scott Thandie Newton Ving Rhames Richard Roxburgh John Polson Brendan Gleeson Rade Serbedzija William Mapother Dominic Purcell Mathew Wilkinson Nicholas Bell Cristina Brogeras Kee Chan Kim Fleming,6.1,15,"John Woo Tom Cruise Dougray Scott Thandie Newton Ving Rhames Richard Roxburgh John Polson Brendan Gleeson Rade Serbedzija William Mapother Dominic Purcell Mathew Wilkinson Nicholas Bell Cristina Brogeras Kee Chan Kim Fleming Action, Adventure, Thriller"
16,27,28,tt0120804,resident evil,2002,"Action, Horror, Sci-Fi",Paul W.S. Anderson,Ryan McCluskey Oscar Pearce Indra Ové Anna Bolt Joseph May Robert Tannion Heike Makatsch Jaymes Butler Stephen Billington Fiona Glascott Milla Jovovich Eric Mabius Colin Salmon Martin Crewes Pasquale Aleardi,6.7,15,"Paul W.S. Anderson Ryan McCluskey Oscar Pearce Indra Ové Anna Bolt Joseph May Robert Tannion Heike Makatsch Jaymes Butler Stephen Billington Fiona Glascott Milla Jovovich Eric Mabius Colin Salmon Martin Crewes Pasquale Aleardi Action, Horror, Sci-Fi"
17,29,30,tt0120824,the shipping news,2001,Drama,Lasse Hallström,Kevin Spacey Julianne Moore Judi Dench Cate Blanchett Pete Postlethwaite Scott Glenn Rhys Ifans Gordon Pinsent Jason Behr Larry Pine Jeannetta Arnette Robert Joy Alyssa Gainer Kaitlyn Gainer Lauren Gainer,6.7,15,Lasse Hallström Kevin Spacey Julianne Moore Judi Dench Cate Blanchett Pete Postlethwaite Scott Glenn Rhys Ifans Gordon Pinsent Jason Behr Larry Pine Jeannetta Arnette Robert Joy Alyssa Gainer Kaitlyn Gainer Lauren Gainer Drama
18,30,31,tt0120903,x-men,2000,"Action, Adventure, Sci-Fi",Bryan Singer,Hugh Jackman Patrick Stewart Ian McKellen Famke Janssen James Marsden Halle Berry Anna Paquin Tyler Mane Ray Park Rebecca Romijn Bruce Davison Matthew Sharp Brett Morris Rhona Shekter Kenneth McGregor,7.4,15,"Bryan Singer Hugh Jackman Patrick Stewart Ian McKellen Famke Janssen James Marsden Halle Berry Anna Paquin Tyler Mane Ray Park Rebecca Romijn Bruce Davison Matthew Sharp Brett Morris Rhona Shekter Kenneth McGregor Action, Adventure, Sci-Fi"
19,31,32,tt0120912,men in black ii,2002,"Action, Adventure, Comedy",Barry Sonnenfeld,Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville Rosario Dawson Tony Shalhoub Patrick Warburton Jack Kehler David Cross Colombe Jacobsen-Derstine Peter Spellos Michael Rivkin Michael Bailey Smith Lenny Venito,6.2,15,"Barry Sonnenfeld Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville Rosario Dawson Tony Shalhoub Patrick Warburton Jack Kehler David Cross Colombe Jacobsen-Derstine Peter Spellos Michael Rivkin Michael Bailey Smith Lenny Venito Action, Adventure, Comedy"
20,32,33,tt0120913,titan a.e.,2000,"Animation, Action, Adventure","Don Bluth, Gary Goldman",Drew Barrymore Jim Breuer Ken Hudson Campbell Thomas A. Chantler Tsai Chin Elaine A. Clark Roy Conrad Jim Cummings Matt Damon Janeane Garofalo Leslie Hedger Roger Jackson David L. Lander Nathan Lane John Leguizamo,6.6,15,"Don Bluth, Gary Goldman Drew Barrymore Jim Breuer Ken Hudson Campbell Thomas A. Chantler Tsai Chin Elaine A. Clark Roy Conrad Jim Cummings Matt Damon Janeane Garofalo Leslie Hedger Roger Jackson David L. Lander Nathan Lane John Leguizamo Animation, Action, Adventure"
21,33,34,tt0120917,the emperor's new groove,2000,"Animation, Adventure, Comedy",Mark Dindal,David Spade John Goodman Eartha Kitt Patrick Warburton Wendie Malick Kellyann Kelso Eli Russell Linnetz Stephen J. Anderson Bob Bergen Rodger Bumpass Robert Clotworthy Jennifer Darling Patti Deutsch John Fiedler Miriam Flynn,7.3,15,"Mark Dindal David Spade John Goodman Eartha Kitt Patrick Warburton Wendie Malick Kellyann Kelso Eli Russell Linnetz Stephen J. Anderson Bob Bergen Rodger Bumpass Robert Clotworthy Jennifer Darling Patti Deutsch John Fiedler Miriam Flynn Animation, Adventure, Comedy"
22,34,35,tt0121164,corpse bride,2005,"Animation, Drama, Family","Tim Burton, Mike Johnson",Johnny Depp Helena Bonham Carter Emily Watson Tracey Ullman Paul Whitehouse Joanna Lumley Albert Finney Richard E. Grant Christopher Lee Michael Gough Jane Horrocks Enn Reitel Deep Roy Danny Elfman Stephen Ballantyne,7.3,15,"Tim Burton, Mike Johnson Johnny Depp Helena Bonham Carter Emily Watson Tracey Ullman Paul Whitehouse Joanna Lumley Albert Finney Richard E. Grant Christopher Lee Michael Gough Jane Horrocks Enn Reitel Deep Roy Danny Elfman Stephen Ballantyne Animation, Drama, Family"
23,35,36,tt0121765,star wars: episode ii - attack of the clones,2002,"Action, Adventure, Fantasy",George Lucas,Ewan McGregor Natalie Portman Hayden Christensen Christopher Lee Samuel L. Jackson Frank Oz Ian McDiarmid Pernilla August Temuera Morrison Jimmy Smits Jack Thompson Leeanna Walsman Ahmed Best Rose Byrne Oliver Ford Davies,6.5,15,"George Lucas Ewan McGregor Natalie Portman Hayden Christensen Christopher Lee Samuel L. Jackson Frank Oz Ian McDiarmid Pernilla August Temuera Morrison Jimmy Smits Jack Thompson Leeanna Walsman Ahmed Best Rose Byrne Oliver Ford Davies Action, Adventure, Fantasy"
24,36,37,tt0121766,star wars: episode iii - revenge of the sith,2005,"Action, Adventure, Fantasy",George Lucas,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson Jimmy Smits Frank Oz Anthony Daniels Christopher Lee Keisha Castle-Hughes Silas Carson Jay Laga'aia Bruce Spence Wayne Pygram Temuera Morrison,7.5,15,"George Lucas Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson Jimmy Smits Frank Oz Anthony Daniels Christopher Lee Keisha Castle-Hughes Silas Carson Jay Laga'aia Bruce Spence Wayne Pygram Temuera Morrison Action, Adventure, Fantasy"
25,40,41,tt0122459,return to me,2000,"Comedy, Drama, Romance",Bonnie Hunt,David Duchovny Minnie Driver Carroll O'Connor Robert Loggia Bonnie Hunt David Alan Grier Joely Richardson Eddie Jones Jim Belushi Marianne Muellerleile William Bronder Brian Howe Chris Barnes Adam Tanguay Karson Pound,6.9,15,"Bonnie Hunt David Duchovny Minnie Driver Carroll O'Connor Robert Loggia Bonnie Hunt David Alan Grier Joely Richardson Eddie Jones Jim Belushi Marianne Muellerleile William Bronder Brian Howe Chris Barnes Adam Tanguay Karson Pound Comedy, Drama, Romance"
26,41,42,tt0123003,bruno,2000,"Comedy, Drama",Shirley MacLaine,Alex D. Linz Shirley MacLaine Gary Sinise Joey Lauren Adams Kathy Bates Kiami Davael Stacey Halprin Jennifer Tilly Gwen Verdon Brett Butler Lee Hughes Dylan Hubbard Kyle Phillips Jordan Perry Joanne Pankow,6.1,15,"Shirley MacLaine Alex D. Linz Shirley MacLaine Gary Sinise Joey Lauren Adams Kathy Bates Kiami Davael Stacey Halprin Jennifer Tilly Gwen Verdon Brett Butler Lee Hughes Dylan Hubbard Kyle Phillips Jordan Perry Joanne Pankow Comedy, Drama"
27,43,44,tt0125022,heartbreakers,2001,"Comedy, Crime, Romance",David Mirkin,Sigourney Weaver Jennifer Love Hewitt Ray Liotta Jason Lee Anne Bancroft Jeffrey Jones Gene Hackman Nora Dunn Julio Oscar Mechoso Ricky Jay Sarah Silverman Zach Galifianakis Michael Hitchcock Pierre Gonneau Shawn Colvin,6.2,15,"David Mirkin Sigourney Weaver Jennifer Love Hewitt Ray Liotta Jason Lee Anne Bancroft Jeffrey Jones Gene Hackman Nora Dunn Julio Oscar Mechoso Ricky Jay Sarah Silverman Zach Galifianakis Michael Hitchcock Pierre Gonneau Shawn Colvin Comedy, Crime, Romance"
